"pid7","govtsvc_rand2","abort_rand2","govtsvc","govtsvc_cand","abort","abort_cand"
"Strong Republican","Republican - 1","Republican - 3","4","Disapprove","1","Strongly Disapprove"
"Not very strong Republican","Republican - 1","Democratic - 5","3","Approve","2","Disapprove"
"Strong Democrat","Republican - 1","Republican - 3","997",NA,"7",NA
"Not very strong Republican","Republican - 1","Democratic - 5","1","Strongly Approve","4","Neither Approve nor Disapprove"
"Lean Republican","Democratic - 5","Republican - 1","1","Disapprove","2","Strongly Approve"
"Lean Republican","Republican - 3","Democratic - 5","1","Neither Approve nor Disapprove","1","Strongly Disapprove"
"Strong Democrat","Democratic - 7","Republican - 3","4","Approve","2","Neither Approve nor Disapprove"
"Strong Democrat","Democratic - 7","Democratic - 7","6","Approve","7","Strongly Approve"
"Strong Democrat","Republican - 1","Democratic - 5","7","Disapprove","6","Strongly Approve"
"Lean Republican","Republican - 1","Democratic - 7","3","Approve","1","Strongly Disapprove"
"Lean Republican","Republican - 1","Democratic - 7","1","Strongly Approve","3","Disapprove"
"Not very strong Republican","Republican - 3","Democratic - 5","4","Approve","4","Neither Approve nor Disapprove"
"Not very strong Democrat","Republican - 3","Republican - 3","4","Disapprove","7","Strongly Disapprove"
"Not very strong Republican","Democratic - 7","Republican - 3","2","Strongly Disapprove","2","Neither Approve nor Disapprove"
"Lean Democrat","Democratic - 7","Democratic - 7","4","Disapprove","5","Approve"
"Strong Republican","Democratic - 7","Republican - 3","2","Strongly Disapprove","6","Approve"
"Strong Democrat","Democratic - 5","Republican - 1","6","Approve","6","Strongly Disapprove"
"Strong Democrat","Democratic - 5","Republican - 1","4","Neither Approve nor Disapprove","7","Strongly Disapprove"
"Not very strong Republican","Democratic - 5","Republican - 1","1","Strongly Approve","3","Approve"
"Not very strong Democrat","Democratic - 7","Republican - 3","5","Approve","6","Approve"
"Lean Republican","Democratic - 7","Republican - 1","2","Strongly Disapprove","5","Strongly Disapprove"
"Strong Republican","Democratic - 5","Republican - 1","4","Neither Approve nor Disapprove","2","Approve"
"Not very strong Republican","Democratic - 7","Democratic - 5","1","Strongly Disapprove","1","Strongly Disapprove"
"Lean Republican","Democratic - 5","Republican - 1","3","Neither Approve nor Disapprove","6","Neither Approve nor Disapprove"
"Strong Republican","Democratic - 5","Democratic - 5","2","Disapprove","2","Disapprove"
